"","statut","age","expérience.professionnelle","temps.passé.moyen.sur.internet","appareil.préféré.de.consultation","nombre.de.boites.mail","nombre.de.messagerie.consultées.régulièrement","fréquence.de.consultation.de.la.messagerie","nombre.de.mails.reçus.par.jour","concerné","notification.de.mails","lecture.de.tous.les.mails","lecture.de.l.objet.expéditeur","nombre.de.mails.non.lus","nombre.de.mails.envoyés.par.semaine","réponse.à.des.mails.nécessitant.une.réponse","consultation.de.mails.en.dehors.des.heures.de.travail.études","personnalisation.de.la.messagerie","importance.de.l.ergonomie","sentiment.envers.de.zéro.inbox","autre.fonctionnalité.de.la.boite.mail"
"233","Master",30,"Ça se compte en années",3,"Un ordinateur",6,3,"< 10",10,"Rarement","Oui","Rarement","Oui",0,1,"Parfois","Parfois","Non","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"234","1A",19,"Sans Expérience",5,"Un smartphone",3,3,"> 10",7,"Souvent","Oui","Quasiment tous","Oui",1,5,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"235","2A",21,"Sans Expérience",2,"Un smartphone",4,2,"> 10",6,"Souvent","Non","En grande partie","Oui",0,5,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"236","2A",20,"Expérience > 6 mois",7,"Un smartphone",3,2,"< 10",7,"Souvent","Oui","En grande partie","Oui",0,10,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"237","1A",21,"Sans Expérience",7,"Un smartphone",3,2,"< 10",3,"Souvent","Oui","En grande partie","Oui",0,3,"Parfois","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, souvent"
"238","3A",21,"Entre 1 et 6 mois",10,"Un smartphone",3,2,"< 3",20,"Rarement","Oui","Rarement","Oui",0,10,"Oui","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"239","1A",20,"Sans Expérience",10,"Un ordinateur",2,2,"> 10",20,"Rarement","Non","En grande partie","Oui",0,10,"Parfois","Oui","Oui","Très importante","Lire tous les mails","Oui, souvent"
"240","2A",22,"Entre 1 et 6 mois",6,"Un smartphone",2,2,"> 10",20,"Rarement","Oui","En grande partie","Oui",0,10,"Oui","Oui","Oui","Très importante","Lire tous les mails","Oui, parfois"
"241","1A",19,"Entre 1 et 6 mois",7,"Un smartphone",8,3,"< 10",3,"Souvent","Oui","En grande partie","Oui",10000,5,"Parfois","Oui","Non","Relativement importante","Avoir 10.000 mails non lus","Oui, parfois"
"242","Enseignant",45,"Ça se compte en années",12,"Un smartphone",3,2,"> 30",40,"Souvent","Non","En grande partie","Oui",504,70,"Oui","Oui","Oui","Relativement importante","Avoir 10.000 mails non lus","Non, j'ai d'autres outils pour ça"
"243","2A",21,"Entre 1 et 6 mois",3,"Un ordinateur",3,2,"< 10",8,"Souvent","Oui","Rarement","Oui",1,3,"Oui","Oui","Oui","Relativement importante","Marquer tout en lu","Oui, parfois"
"244","3A",21,"Ça se compte en années",6,"Un ordinateur",4,4,"> 10",5,"Souvent","Non","En grande partie","Oui",0,3,"Oui","Oui","Oui","Relativement importante","Lire tous les mails","Oui, parfois"
"245","1A",20,"Entre 1 et 6 mois",7,"Un ordinateur",4,3,"< 10",3,"Souvent","Oui","En grande partie","Oui",0,5,"Oui","Oui","Oui","Très importante","Marquer tout en lu","Oui, parfois"
"246","1A",20,"Sans Expérience",3,"Un ordinateur",2,1,"< 3",5,"Souvent","Non","Rarement","Oui",20,1,"Oui","Oui","Non","Pas tellement importante","Marquer tout en lu","Non, j'ai d'autres outils pour ça"
"247","1A",21,"Entre 1 et 6 mois",3,"Un smartphone",4,4,"< 10",10,"Rarement","Oui","En grande partie","Oui",0,2,"Oui","Oui","Non","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
"248","Master",26,"Ça se compte en années",5,"Un smartphone",5,2,"> 10",5,"Souvent","Oui","En grande partie","Oui",0,30,"Oui","Oui","Non","Relativement importante","Lire tous les mails","Oui, souvent"
"249","3A",22,"Sans Expérience",12,"Un ordinateur",4,3,"< 3",10,"Souvent","Oui","En grande partie","Oui",100,10,"Oui","Oui","Non","Relativement importante","Marquer tout en lu","Oui, parfois"
"250","Master",29,"Ça se compte en années",5,"Une tablette",4,4,"< 3",3,"Souvent","Oui","En grande partie","Oui",100,4,"Oui","Oui","Oui","Très importante","Lire tous les mails","Non, j'ai d'autres outils pour ça"
